file,document_id,document_name,attach_type,attach_size,stage,status,wall_time_sec,cpu_mean_pct,cpu_peak_pct,rss_mean,rss_peak,samples,started_at,attach_name
intel-assist-index-errors-loc-0-12.json,226416,Мегаполис_MDM работы,xlsx,4220056.0,INDEXING,SUB_DONE,198.212899072,0.27969653179190906,4.8,55222946.77456647,56164352.0,1384.0,2026-07-31 19:41:30.133520+00:00,etl-4MiB.xlsx
intel-assist-index-errors-loc-0-12.json,226416,Мегаполис_MDM работы,xlsx,4220056.0,EXTRACTING,SUB_DONE,0.446174976,0.0,0.0,0.0,0.0,0.0,2026-07-31 19:41:30.133520+00:00,etl-4MiB.xlsx
intel-assist-index-errors-loc-0-13.json,226416,Мегаполис_MDM работы,xlsx,8437154.0,CONVERTING,SUB_DONE,0.350464,0.2,0.3,56131584.0,56131584.0,2.0,2026-07-31 19:55:16.333447+00:00,etl-8MiB.xlsx
intel-assist-index-errors-loc-0-13.json,226416,Мегаполис_MDM работы,xlsx,8437154.0,INDEXING,SUB_DONE,379.570681088,0.3389939485627891,5.3,53990417.040847205,55230464.0,2644.0,2026-07-31 19:55:16.333447+00:00,etl-8MiB.xlsx
intel-assist-index-errors-loc-0-13.json,226416,Мегаполис_MDM работы,xlsx,8437154.0,EXTRACTING,SUB_DONE,0.899736832,0.0,0.0,0.0,0.0,0.0,2026-07-31 19:55:16.333447+00:00,etl-8MiB.xlsx
intel-assist-index-errors-loc-0-13.json,226416,Мегаполис_MDM работы,xlsx,8437154.0,TOKENIZING,SUB_DONE,245.774759168,0.0,0.0,56442880.0,56442880.0,1.0,2026-07-31 19:55:16.333447+00:00,etl-8MiB.xlsx
intel-assist-index-errors-loc-0-13.json,226416,Мегаполис_MDM работы,xlsx,8437154.0,VECTORIZING,SUB_DONE,391.355606016,0.3231514084507052,5.1,58137124.05633803,61390848.0,1136.0,2026-07-31 19:55:16.333447+00:00,etl-8MiB.xlsx
intel-assist-index-errors-loc-0-14.json,226416,Мегаполис_MDM работы,xlsx,16871450.0,EXTRACTING,SUB_DONE,1.434779136,0.0,0.0,0.0,0.0,0.0,2026-07-31 20:16:42.501377+00:00,etl-16MiB.xlsx
intel-assist-index-errors-loc-0-14.json,226416,Мегаполис_MDM работы,xlsx,16871450.0,CONVERTING,SUB_DONE,0.381878016,0.1,0.1,54460416.0,54460416.0,2.0,2026-07-31 20:16:42.501377+00:00,etl-16MiB.xlsx
intel-assist-index-errors-loc-0-14.json,226416,Мегаполис_MDM работы,xlsx,16871450.0,VECTORIZING,SUB_DONE,794.58538112,0.3075901328273277,5.5,54124116.52371916,55001088.0,2108.0,2026-07-31 20:16:42.501377+00:00,etl-16MiB.xlsx
intel-assist-index-errors-loc-0-14.json,226416,Мегаполис_MDM работы,xlsx,16871450.0,INDEXING,SUB_DONE,689.33663104,0.3047219307450105,5.8,55783332.02266527,59490304.0,4765.0,2026-07-31 20:16:42.501377+00:00,etl-16MiB.xlsx
